"TIME","GEO","UNIT","NACE_R2","Value","Flag and Footnotes"
"2010","Bulgaria","Percentage","Financial and insurance activities","24.5",""
"2010","Bulgaria","Percentage","Real estate activities","-0.2",""
"2010","Bulgaria","Percentage","Professional, scientific and technical activities","8.4",""
"2010","Bulgaria","Percentage","Administrative and support service activities","-7.5",""
"2010","Bulgaria","Percentage","Public administration and defence; compulsory social security","12.5",""
"2010","Bulgaria","Percentage","Education","13.2",""
"2010","Bulgaria","Percentage","Human health and social work activities","27.2",""
"2010","Bulgaria","Percentage","Arts, entertainment and recreation","18.3",""
"2010","Bulgaria","Percentage","Other service activities","-0.8",""
"2010","Czechia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","20.9",""
"2010","Czechia","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","21.6",""
"2010","Czechia","Percentage","Business economy","16.1",""
"2010","Czechia","Percentage","Mining and quarrying","22.6",""
"2010","Czechia","Percentage","Manufacturing","28.1",""
"2010","Czechia","Percentage","Electricity, gas, steam and air conditioning supply","18.4",""
"2010","Czechia","Percentage","Water supply; sewerage, waste management and remediation activities","-1.2",""
"2010","Czechia","Percentage","Construction","6.1",""
"2010","Czechia","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","28.4",""
"2010","Czechia","Percentage","Transportation and storage","3.5",""
"2010","Czechia","Percentage","Accommodation and food service activities","8.3",""
"2010","Czechia","Percentage","Information and communication","33.0",""
"2010","Czechia","Percentage","Financial and insurance activities","42.1",""
"2010","Czechia","Percentage","Real estate activities","21.8",""
"2010","Czechia","Percentage","Professional, scientific and technical activities","27.2",""
"2010","Czechia","Percentage","Administrative and support service activities","7.6",""
"2010","Czechia","Percentage","Public administration and defence; compulsory social security","16.3",""
"2010","Czechia","Percentage","Education","21.7",""
"2010","Czechia","Percentage","Human health and social work activities","25.6",""
"2010","Czechia","Percentage","Arts, entertainment and recreation","14.6",""
"2010","Czechia","Percentage","Other service activities","19.2",""
"2010","Denmark","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","16.8",""
"2010","Denmark","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","17.1",""
"2010","Denmark","Percentage","Business economy","17.9",""
"2010","Denmark","Percentage","Mining and quarrying","18.6",""
"2010","Denmark","Percentage","Manufacturing","13.9",""
"2010","Denmark","Percentage","Electricity, gas, steam and air conditioning supply","21.8",""
"2010","Denmark","Percentage","Water supply; sewerage, waste management and remediation activities","13.8",""
"2010","Denmark","Percentage","Construction","13.0",""
"2010","Denmark","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","21.5",""
"2010","Denmark","Percentage","Transportation and storage","13.8",""
"2010","Denmark","Percentage","Accommodation and food service activities","6.7",""
"2010","Denmark","Percentage","Information and communication","20.3",""
"2010","Denmark","Percentage","Financial and insurance activities","23.0",""
"2010","Denmark","Percentage","Real estate activities","11.3",""
"2010","Denmark","Percentage","Professional, scientific and technical activities","24.4",""
"2010","Denmark","Percentage","Administrative and support service activities","3.5",""
"2010","Denmark","Percentage","Public administration and defence; compulsory social security","11.7",""
"2010","Denmark","Percentage","Education","10.3",""
"2010","Denmark","Percentage","Human health and social work activities","13.0",""
"2010","Denmark","Percentage","Arts, entertainment and recreation","8.2",""
"2010","Denmark","Percentage","Other service activities","14.5",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","20.8",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","22.3",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Business economy","25.7",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Mining and quarrying","12.3",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Manufacturing","27.4",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Electricity, gas, steam and air conditioning supply","21.4",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Water supply; sewerage, waste management and remediation activities","4.7",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Construction","12.7",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","25.1",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Transportation and storage","3.9",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Accommodation and food service activities","12.9",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Information and communication","28.1",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Financial and insurance activities","30.0",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Real estate activities","20.5",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Professional, scientific and technical activities","33.7",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Administrative and support service activities","12.4",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Public administration and defence; compulsory social security","8.5",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Education","9.6",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Human health and social work activities","24.6",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Arts, entertainment and recreation","27.5",""
"2010","Germany (until 1990 former territory of the FRG)","Percentage","Other service activities","24.1",""
"2010","Estonia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","26.1",""
"2010","Estonia","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","27.7",""
"2010","Estonia","Percentage","Business economy","28.5",""
"2010","Estonia","Percentage","Mining and quarrying","36.0",""
"2010","Estonia","Percentage","Manufacturing","31.6",""
"2010","Estonia","Percentage","Electricity, gas, steam and air conditioning supply","21.9",""
"2010","Estonia","Percentage","Water supply; sewerage, waste management and remediation activities","18.5",""
"2010","Estonia","Percentage","Construction","19.3",""
"2010","Estonia","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","37.0",""
"2010","Estonia","Percentage","Transportation and storage","14.7",""
"2010","Estonia","Percentage","Accommodation and food service activities","23.7",""
"2010","Estonia","Percentage","Information and communication","29.5",""
"2010","Estonia","Percentage","Financial and insurance activities","43.9",""
"2010","Estonia","Percentage","Real estate activities","22.8",""
"2010","Estonia","Percentage","Professional, scientific and technical activities","18.7",""
"2010","Estonia","Percentage","Administrative and support service activities","16.0",""
"2010","Estonia","Percentage","Public administration and defence; compulsory social security","10.6",""
"2010","Estonia","Percentage","Education","23.8",""
"2010","Estonia","Percentage","Human health and social work activities","34.8",""
"2010","Estonia","Percentage","Arts, entertainment and recreation","22.7",""
"2010","Estonia","Percentage","Other service activities","30.7",""
"2010","Ireland","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","13.3",""
"2010","Ireland","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","13.9",""
"2010","Ireland","Percentage","Business economy","22.7",""
"2010","Ireland","Percentage","Mining and quarrying",":",""
"2010","Ireland","Percentage","Manufacturing",":",""
"2010","Ireland","Percentage","Electricity, gas, steam and air conditioning supply",":",""
"2010","Ireland","Percentage","Water supply; sewerage, waste management and remediation activities","18.9",""
"2010","Ireland","Percentage","Construction","2.8",""
"2010","Ireland","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","23.7",""
"2010","Ireland","Percentage","Transportation and storage","10.9",""
"2010","Ireland","Percentage","Accommodation and food service activities","12.9",""
"2010","Ireland","Percentage","Information and communication","26.2",""
"2010","Ireland","Percentage","Financial and insurance activities",":",""
"2010","Ireland","Percentage","Real estate activities","29.5",""
"2010","Ireland","Percentage","Professional, scientific and technical activities","30.7",""
"2010","Ireland","Percentage","Administrative and support service activities","15.7",""
"2010","Ireland","Percentage","Public administration and defence; compulsory social security","7.0",""
"2010","Ireland","Percentage","Education","25.3",""
"2010","Ireland","Percentage","Human health and social work activities","16.8",""
"2010","Ireland","Percentage","Arts, entertainment and recreation",":",""
"2010","Ireland","Percentage","Other service activities","17.7",""
"2010","Greece","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","15.0",""
"2010","Greece","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","15.0",""
"2010","Greece","Percentage","Business economy","19.7",""
"2010","Greece","Percentage","Mining and quarrying","34.0",""
"2010","Greece","Percentage","Manufacturing","18.3",""
"2010","Greece","Percentage","Electricity, gas, steam and air conditioning supply","23.0",""
"2010","Greece","Percentage","Water supply; sewerage, waste management and remediation activities","11.2",""
"2010","Greece","Percentage","Construction","1.8",""
"2010","Greece","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","17.6",""
"2010","Greece","Percentage","Transportation and storage","20.0",""
"2010","Greece","Percentage","Accommodation and food service activities","13.7",""
"2010","Greece","Percentage","Information and communication","25.4",""
"2010","Greece","Percentage","Financial and insurance activities","17.8",""
"2010","Greece","Percentage","Real estate activities","-12.9",""
"2010","Greece","Percentage","Professional, scientific and technical activities","27.8",""
"2010","Greece","Percentage","Administrative and support service activities","5.0",""
"2010","Greece","Percentage","Public administration and defence; compulsory social security","15.9",""
"2010","Greece","Percentage","Education","12.4",""
"2010","Greece","Percentage","Human health and social work activities","20.6",""
"2010","Greece","Percentage","Arts, entertainment and recreation","2.4",""
"2010","Greece","Percentage","Other service activities","28.7",""
"2010","Spain","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","15.3",""
"2010","Spain","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","16.2",""
"2010","Spain","Percentage","Business economy","22.4",""
"2010","Spain","Percentage","Mining and quarrying","12.2",""
"2010","Spain","Percentage","Manufacturing","22.3",""
"2010","Spain","Percentage","Electricity, gas, steam and air conditioning supply","14.0",""
"2010","Spain","Percentage","Water supply; sewerage, waste management and remediation activities","17.5",""
"2010","Spain","Percentage","Construction","3.0",""
"2010","Spain","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","23.5",""
"2010","Spain","Percentage","Transportation and storage","11.1",""
"2010","Spain","Percentage","Accommodation and food service activities","18.0",""
"2010","Spain","Percentage","Information and communication","14.7",""
"2010","Spain","Percentage","Financial and insurance activities","22.5",""
"2010","Spain","Percentage","Real estate activities","22.6",""
"2010","Spain","Percentage","Professional, scientific and technical activities","22.2",""
"2010","Spain","Percentage","Administrative and support service activities","16.4",""
"2010","Spain","Percentage","Public administration and defence; compulsory social security","10.1",""
"2010","Spain","Percentage","Education","10.5",""
"2010","Spain","Percentage","Human health and social work activities","24.2",""
"2010","Spain","Percentage","Arts, entertainment and recreation","22.2",""
"2010","Spain","Percentage","Other service activities","20.0",""
"2010","France","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","15.5",""
"2010","France","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","15.6",""
"2010","France","Percentage","Business economy","15.6",""
"2010","France","Percentage","Mining and quarrying","13.5",""
"2010","France","Percentage","Manufacturing","16.2",""
"2010","France","Percentage","Electricity, gas, steam and air conditioning supply","11.2",""
"2010","France","Percentage","Water supply; sewerage, waste management and remediation activities","-11.5",""
"2010","France","Percentage","Construction","-9.1",""
"2010","France","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","22.0",""
"2010","France","Percentage","Transportation and storage","2.3",""
"2010","France","Percentage","Accommodation and food service activities","10.3",""
"2010","France","Percentage","Information and communication","17.7",""
"2010","France","Percentage","Financial and insurance activities","30.7",""
"2010","France","Percentage","Real estate activities","21.3",""
"2010","France","Percentage","Professional, scientific and technical activities","24.4",""
"2010","France","Percentage","Administrative and support service activities","9.0",""
"2010","France","Percentage","Public administration and defence; compulsory social security","11.6",""
"2010","France","Percentage","Education","13.9",""
"2010","France","Percentage","Human health and social work activities","18.2",""
"2010","France","Percentage","Arts, entertainment and recreation","16.4",""
"2010","France","Percentage","Other service activities","11.1",""
"2010","Croatia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","5.5",""
"2010","Croatia","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","5.7",""
"2010","Croatia","Percentage","Business economy",":",""
"2010","Croatia","Percentage","Mining and quarrying","-4.1",""
"2010","Croatia","Percentage","Manufacturing","18.4",""
"2010","Croatia","Percentage","Electricity, gas, steam and air conditioning supply","11.7",""
"2010","Croatia","Percentage","Water supply; sewerage, waste management and remediation activities","5.5",""
"2010","Croatia","Percentage","Construction","-21.8",""
"2010","Croatia","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","12.6",""
"2010","Croatia","Percentage","Transportation and storage","12.5",""
"2010","Croatia","Percentage","Accommodation and food service activities","12.1",""
"2010","Croatia","Percentage","Information and communication","16.6",""
"2010","Croatia","Percentage","Financial and insurance activities","7.0",""
"2010","Croatia","Percentage","Real estate activities","18.3",""
"2010","Croatia","Percentage","Professional, scientific and technical activities","5.4",""
"2010","Croatia","Percentage","Administrative and support service activities","10.1",""
"2010","Croatia","Percentage","Public administration and defence; compulsory social security","9.0",""
"2010","Croatia","Percentage","Education","19.1",""
"2010","Croatia","Percentage","Human health and social work activities","24.3",""
"2010","Croatia","Percentage","Arts, entertainment and recreation","15.2",""
"2010","Croatia","Percentage","Other service activities","17.8",""
"2010","Italy","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",":",""
"2010","Italy","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","5.3",""
"2010","Italy","Percentage","Business economy","15.8",""
"2010","Italy","Percentage","Mining and quarrying","-15.2",""
"2010","Italy","Percentage","Manufacturing","16.0",""
"2010","Italy","Percentage","Electricity, gas, steam and air conditioning supply","8.2",""
"2010","Italy","Percentage","Water supply; sewerage, waste management and remediation activities","4.0",""
"2010","Italy","Percentage","Construction","-0.6",""
"2010","Italy","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","15.5",""
"2010","Italy","Percentage","Transportation and storage","3.1",""
"2010","Italy","Percentage","Accommodation and food service activities","12.5",""
"2010","Italy","Percentage","Information and communication","17.9",""
"2010","Italy","Percentage","Financial and insurance activities","21.7",""
"2010","Italy","Percentage","Real estate activities","25.2",""
"2010","Italy","Percentage","Professional, scientific and technical activities","21.1",""
"2010","Italy","Percentage","Administrative and support service activities","8.4",""
"2010","Italy","Percentage","Public administration and defence; compulsory social security",":",""
"2010","Italy","Percentage","Education","12.6",""
"2010","Italy","Percentage","Human health and social work activities","28.5",""
"2010","Italy","Percentage","Arts, entertainment and recreation","20.4",""
"2010","Italy","Percentage","Other service activities","21.3",""
"2010","Cyprus","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","16.6",""
"2010","Cyprus","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","16.8",""
"2010","Cyprus","Percentage","Business economy","26.1",""
"2010","Cyprus","Percentage","Mining and quarrying","15.5","u"
"2010","Cyprus","Percentage","Manufacturing","33.4",""
"2010","Cyprus","Percentage","Electricity, gas, steam and air conditioning supply","19.3",""
"2010","Cyprus","Percentage","Water supply; sewerage, waste management and remediation activities","-6.3","u"
"2010","Cyprus","Percentage","Construction","16.4",""
"2010","Cyprus","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","31.2",""
"2010","Cyprus","Percentage","Transportation and storage","36.8",""
"2010","Cyprus","Percentage","Accommodation and food service activities","22.1",""
"2010","Cyprus","Percentage","Information and communication","24.7",""
"2010","Cyprus","Percentage","Financial and insurance activities","27.3",""
"2010","Cyprus","Percentage","Real estate activities","15.6","u"
"2010","Cyprus","Percentage","Professional, scientific and technical activities","33.6",""
"2010","Cyprus","Percentage","Administrative and support service activities","19.7",""
"2010","Cyprus","Percentage","Public administration and defence; compulsory social security","16.0",""
"2010","Cyprus","Percentage","Education","11.4",""
"2010","Cyprus","Percentage","Human health and social work activities","37.6",""
"2010","Cyprus","Percentage","Arts, entertainment and recreation","37.1",""
"2010","Cyprus","Percentage","Other service activities","48.1","u"
"2010","Latvia","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","13.2",""
"2010","Latvia","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","15.5",""
"2010","Latvia","Percentage","Business economy","17.0",""
"2010","Latvia","Percentage","Mining and quarrying","12.5",""
"2010","Latvia","Percentage","Manufacturing","18.8",""
"2010","Latvia","Percentage","Electricity, gas, steam and air conditioning supply","17.7",""
"2010","Latvia","Percentage","Water supply; sewerage, waste management and remediation activities","11.5",""
"2010","Latvia","Percentage","Construction","2.8",""
"2010","Latvia","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","26.3",""
"2010","Latvia","Percentage","Transportation and storage","14.8",""
"2010","Latvia","Percentage","Accommodation and food service activities","23.0",""
"2010","Latvia","Percentage","Information and communication","25.0",""
"2010","Latvia","Percentage","Financial and insurance activities","37.6",""
"2010","Latvia","Percentage","Real estate activities","7.9",""
"2010","Latvia","Percentage","Professional, scientific and technical activities","13.3",""
"2010","Latvia","Percentage","Administrative and support service activities","6.7",""
"2010","Latvia","Percentage","Public administration and defence; compulsory social security","-3.4",""
"2010","Latvia","Percentage","Education","0.8",""
"2010","Latvia","Percentage","Human health and social work activities","11.1",""
"2010","Latvia","Percentage","Arts, entertainment and recreation","11.3",""
"2010","Latvia","Percentage","Other service activities","41.2",""
"2010","Lithuania","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","12","b"
"2010","Lithuania","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","11.9","b"
"2010","Lithuania","Percentage","Business economy","18.3","b"
"2010","Lithuania","Percentage","Mining and quarrying","1.2","b"
"2010","Lithuania","Percentage","Manufacturing","30.4","b"
"2010","Lithuania","Percentage","Electricity, gas, steam and air conditioning supply","16","b"
"2010","Lithuania","Percentage","Water supply; sewerage, waste management and remediation activities","10.1","b"
"2010","Lithuania","Percentage","Construction","-9.1","b"
"2010","Lithuania","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","18.5","b"
"2010","Lithuania","Percentage","Transportation and storage","4.9","b"
"2010","Lithuania","Percentage","Accommodation and food service activities","14.9","b"
"2010","Lithuania","Percentage","Information and communication","25.2","b"
"2010","Lithuania","Percentage","Financial and insurance activities","44.3","b"
"2010","Lithuania","Percentage","Real estate activities","13.3","b"
"2010","Lithuania","Percentage","Professional, scientific and technical activities","15.6","b"
"2010","Lithuania","Percentage","Administrative and support service activities","14.1","b"
"2010","Lithuania","Percentage","Public administration and defence; compulsory social security","7.6","b"
"2010","Lithuania","Percentage","Education","-1.7","b"
"2010","Lithuania","Percentage","Human health and social work activities","21.1","b"
"2010","Lithuania","Percentage","Arts, entertainment and recreation","12.4","b"
"2010","Lithuania","Percentage","Other service activities","34.9","b"
"2010","Luxembourg","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",":",""
"2010","Luxembourg","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","8.7",""
"2010","Luxembourg","Percentage","Business economy","13.7",""
"2010","Luxembourg","Percentage","Mining and quarrying","-4.2","u"
"2010","Luxembourg","Percentage","Manufacturing","16.2",""
"2010","Luxembourg","Percentage","Electricity, gas, steam and air conditioning supply","5.1","u"
"2010","Luxembourg","Percentage","Water supply; sewerage, waste management and remediation activities","-21.0",""
"2010","Luxembourg","Percentage","Construction","-7.7","u"
"2010","Luxembourg","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","27.0",""
"2010","Luxembourg","Percentage","Transportation and storage","7.1",""
"2010","Luxembourg","Percentage","Accommodation and food service activities","17.0",""
"2010","Luxembourg","Percentage","Information and communication","17.8",""
"2010","Luxembourg","Percentage","Financial and insurance activities","26.0",""
"2010","Luxembourg","Percentage","Real estate activities","25.4","u"
"2010","Luxembourg","Percentage","Professional, scientific and technical activities","21.1",""
"2010","Luxembourg","Percentage","Administrative and support service activities","15.1",""
"2010","Luxembourg","Percentage","Public administration and defence; compulsory social security",":",""
"2010","Luxembourg","Percentage","Education","6.7",""
"2010","Luxembourg","Percentage","Human health and social work activities","5.2",""
"2010","Luxembourg","Percentage","Arts, entertainment and recreation","19.5","u"
"2010","Luxembourg","Percentage","Other service activities","17.6","u"
"2010","Hungary","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","15.9",""
"2010","Hungary","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","17.6",""
"2010","Hungary","Percentage","Business economy","15.4",""
"2010","Hungary","Percentage","Mining and quarrying","-12.2",""
"2010","Hungary","Percentage","Manufacturing","26.4",""
"2010","Hungary","Percentage","Electricity, gas, steam and air conditioning supply","17.4",""
"2010","Hungary","Percentage","Water supply; sewerage, waste management and remediation activities","-1.7",""
"2010","Hungary","Percentage","Construction","-11.4",""
"2010","Hungary","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","15.8",""
"2010","Hungary","Percentage","Transportation and storage","4.5",""
"2010","Hungary","Percentage","Accommodation and food service activities","12.8",""
"2010","Hungary","Percentage","Information and communication","24.6",""
"2010","Hungary","Percentage","Financial and insurance activities","38.6",""
"2010","Hungary","Percentage","Real estate activities","14.9",""
"2010","Hungary","Percentage","Professional, scientific and technical activities","14.7",""
"2010","Hungary","Percentage","Administrative and support service activities","5.0",""
"2010","Hungary","Percentage","Public administration and defence; compulsory social security","3.7",""
"2010","Hungary","Percentage","Education","20.7",""
"2010","Hungary","Percentage","Human health and social work activities","16.1",""
"2010","Hungary","Percentage","Arts, entertainment and recreation","3.2",""
"2010","Hungary","Percentage","Other service activities","14.5",""
"2010","Malta","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",":",""
"2010","Malta","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","7.2",""
"2010","Malta","Percentage","Business economy","15.5",""
"2010","Malta","Percentage","Mining and quarrying","26.8",""
"2010","Malta","Percentage","Manufacturing","14.9",""
"2010","Malta","Percentage","Electricity, gas, steam and air conditioning supply","6.8",""
"2010","Malta","Percentage","Water supply; sewerage, waste management and remediation activities","-3.1",""
"2010","Malta","Percentage","Construction","7.3",""
"2010","Malta","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","29.9",""
"2010","Malta","Percentage","Transportation and storage","10.4",""
"2010","Malta","Percentage","Accommodation and food service activities","16.6",""
"2010","Malta","Percentage","Information and communication","11.0",""
"2010","Malta","Percentage","Financial and insurance activities","30.6",""
"2010","Malta","Percentage","Real estate activities","44.8",""
"2010","Malta","Percentage","Professional, scientific and technical activities","8.4",""
"2010","Malta","Percentage","Administrative and support service activities","8.4",""
"2010","Malta","Percentage","Public administration and defence; compulsory social security",":",""
"2010","Malta","Percentage","Education","-3.0",""
"2010","Malta","Percentage","Human health and social work activities","12.4",""
"2010","Malta","Percentage","Arts, entertainment and recreation","27.0",""
"2010","Malta","Percentage","Other service activities","9.8",""
"2010","Netherlands","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","18.0",""
"2010","Netherlands","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","17.8",""
"2010","Netherlands","Percentage","Business economy","17.7",""
"2010","Netherlands","Percentage","Mining and quarrying","27.5",""
"2010","Netherlands","Percentage","Manufacturing","18.6",""
"2010","Netherlands","Percentage","Electricity, gas, steam and air conditioning supply","49.2",""
"2010","Netherlands","Percentage","Water supply; sewerage, waste management and remediation activities","15.8",""
"2010","Netherlands","Percentage","Construction","17.1",""
"2010","Netherlands","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","17.2",""
"2010","Netherlands","Percentage","Transportation and storage","18.2",""
"2010","Netherlands","Percentage","Accommodation and food service activities","20.2",""
"2010","Netherlands","Percentage","Information and communication","17.4",""
"2010","Netherlands","Percentage","Financial and insurance activities","23.9",""
"2010","Netherlands","Percentage","Real estate activities","11.6",""
"2010","Netherlands","Percentage","Professional, scientific and technical activities","17.4",""
"2010","Netherlands","Percentage","Administrative and support service activities","15.1",""
"2010","Netherlands","Percentage","Public administration and defence; compulsory social security","13.7",""
"2010","Netherlands","Percentage","Education","21.2",""
"2010","Netherlands","Percentage","Human health and social work activities","16.5",""
"2010","Netherlands","Percentage","Arts, entertainment and recreation","18.8",""
"2010","Netherlands","Percentage","Other service activities","27.6",""
"2010","Austria","Percentage","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)",":",""
"2010","Austria","Percentage","Industry, construction and services (except public administration, defense, compulsory social security)","24.0",""
"2010","Austria","Percentage","Business economy","25.2",""
"2010","Austria","Percentage","Mining and quarrying","18.3",""
"2010","Austria","Percentage","Manufacturing","24.4",""
"2010","Austria","Percentage","Electricity, gas, steam and air conditioning supply","23.6",""
"2010","Austria","Percentage","Water supply; sewerage, waste management and remediation activities","12.2",""
"2010","Austria","Percentage","Construction","9.9",""
"2010","Austria","Percentage","Wholesale and retail trade; repair of motor vehicles and motorcycles","27.5",""
"2010","Austria","Percentage","Transportation and storage","7.3",""
"2010","Austria","Percentage","Accommodation and food service activities","9.9",""
"2010","Austria","Percentage","Information and communication","21.2",""
"2010","Austria","Percentage","Financial and insurance activities","30.3",""
"2010","Austria","Percentage","Real estate activities","27.0",""
"2010","Austria","Percentage","Professional, scientific and technical activities","34.0",""
"2010","Austria","Percentage","Administrative and support service activities","22.5",""
"2010","Austria","Percentage","Public administration and defence; compulsory social security",":",""
"2010","Austria","Percentage","Education","27.8",""
"2010","Austria","Percentage","Human health and social work activities","12.0",""
"2010","Austria","Percentage","Arts, entertainment and recreation","34.0",""
"2010","Austria","Percentage","Other service activities","32.0",""
