"TIME","GEO","WSTATUS","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2013","Croatia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","25.9",""
"2013","Croatia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.9",""
"2013","Italy","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","21.2",""
"2013","Italy","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","30.9",""
"2013","Cyprus","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","24.7",""
"2013","Cyprus","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","27.7",""
"2013","Latvia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","19.9",""
"2013","Latvia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.1",""
"2013","Lithuania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.5",""
"2013","Lithuania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.7",""
"2013","Luxembourg","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.0",""
"2013","Luxembourg","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.4",""
"2013","Hungary","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.0",""
"2013","Hungary","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.4",""
"2013","Malta","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.9",""
"2013","Malta","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.5",""
"2013","Netherlands","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.6","b"
"2013","Netherlands","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","25.5","b"
"2013","Austria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.7",""
"2013","Austria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","14.6",""
"2013","Poland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","14.7",""
"2013","Poland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","18.5",""
"2013","Portugal","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","24.5",""
"2013","Portugal","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.5",""
"2013","Romania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.7",""
"2013","Romania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2013","Slovenia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.5",""
"2013","Slovenia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.3",""
"2013","Slovakia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2013","Slovakia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.3",""
"2013","Finland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","20.6",""
"2013","Finland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.0",""
"2013","Sweden","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.4",""
"2013","Sweden","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.1",""
"2013","Iceland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.1",""
"2013","Iceland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","9.5",""
"2013","Norway","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.2",""
"2013","Norway","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.5",""
"2013","Switzerland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.0",""
"2013","Switzerland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.9",""
"2013","Montenegro","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.7",""
"2013","Montenegro","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","32.0",""
"2013","North Macedonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.9",""
"2013","North Macedonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","30.5",""
"2013","Serbia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","31.0",""
"2013","Serbia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","36.7",""
"2013","Turkey","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.6",""
"2013","Turkey","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","21.7",""
"2014","Belgium","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.7",""
"2014","Belgium","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.3",""
"2014","Bulgaria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","20.6",""
"2014","Bulgaria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.7",""
"2014","Czechia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","6.3",""
"2014","Czechia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.2",""
"2014","Denmark","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.0",""
"2014","Denmark","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.1",""
"2014","Germany (until 1990 former territory of the FRG)","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.1",""
"2014","Germany (until 1990 former territory of the FRG)","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","10.4",""
"2014","Estonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.7",""
"2014","Estonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","12.7",""
"2014","Ireland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","20.0",""
"2014","Ireland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.1",""
"2014","Greece","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","28.9",""
"2014","Greece","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","39.5",""
"2014","Spain","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.2",""
"2014","Spain","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","40.4",""
"2014","France","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.8",""
"2014","France","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","23.1",""
"2014","Croatia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","24.0",""
"2014","Croatia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.7",""
"2014","Italy","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","22.5",""
"2014","Italy","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","32.6",""
"2014","Cyprus","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","26.6",""
"2014","Cyprus","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","29.0",""
"2014","Latvia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","18.1",""
"2014","Latvia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.5",""
"2014","Lithuania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","15.2",""
"2014","Lithuania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.0",""
"2014","Luxembourg","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.5",""
"2014","Luxembourg","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.6",""
"2014","Hungary","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.3",""
"2014","Hungary","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","13.0",""
"2014","Malta","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","8.4",""
"2014","Malta","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","11.1",""
"2014","Netherlands","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.6",""
"2014","Netherlands","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","26.4",""
"2014","Austria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.5",""
"2014","Austria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","15.1",""
"2014","Poland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.3",""
"2014","Poland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","17.1",""
"2014","Portugal","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","21.6",""
"2014","Portugal","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","26.0",""
"2014","Romania","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.1",""
"2014","Romania","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","15.3",""
"2014","Slovenia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.6",""
"2014","Slovenia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.6",""
"2014","Slovakia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","14.9",""
"2014","Slovakia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.3",""
"2014","Finland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","21.5",""
"2014","Finland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","21.2",""
"2014","Sweden","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","15.9",""
"2014","Sweden","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","19.4",""
"2014","Iceland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","12.1",""
"2014","Iceland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2014","Norway","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","7.6",""
"2014","Norway","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","9.7",""
"2014","Switzerland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","11.4",""
"2014","Switzerland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","20.0",""
"2014","Montenegro","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","27.5",""
"2014","Montenegro","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.7",""
"2014","North Macedonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","30.6",""
"2014","North Macedonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","30.7",""
"2014","Serbia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","29.5",""
"2014","Serbia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","33.2",""
"2014","Turkey","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","13.7","b"
"2014","Turkey","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","23.5","b"
"2015","Belgium","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","14.1",""
"2015","Belgium","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.1",""
"2015","Bulgaria","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.6",""
"2015","Bulgaria","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","15.4",""
"2015","Czechia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","5.4",""
"2015","Czechia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","8.4",""
"2015","Denmark","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","9.7",""
"2015","Denmark","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","11.6",""
"2015","Germany (until 1990 former territory of the FRG)","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","7.9",""
"2015","Germany (until 1990 former territory of the FRG)","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","9.8",""
"2015","Estonia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","10.8",""
"2015","Estonia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","12.3",""
"2015","Ireland","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.1",""
"2015","Ireland","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","16.9",""
"2015","Greece","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","27.5",""
"2015","Greece","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","38.1",""
"2015","Spain","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","27.2",""
"2015","Spain","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","37.7",""
"2015","France","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","17.4",""
"2015","France","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","23.2",""
"2015","Croatia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","23.4",""
"2015","Croatia","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","27.3",""
"2015","Italy","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","22.1",""
"2015","Italy","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","32.1",""
"2015","Cyprus","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","25.1",""
"2015","Cyprus","Labour market slack","Females","From 15 to 74 years","Percentage of extended labour force","28.2",""
"2015","Latvia","Labour market slack","Males","From 15 to 74 years","Percentage of extended labour force","16.6",""
